id,År,LAND,IMPORT
1,2018,Tyskland,131793.6
2,2019,Tyskland,136415.6
3,2020,Tyskland,136098.2
4,2021,Tyskland,150152.7
5,2022,Tyskland,166460.9
6,2023,Tyskland,159274.1
7,2018,Sverige,70401.4
8,2019,Sverige,72722.1
9,2020,Sverige,75817.3
10,2021,Sverige,87994.1
11,2022,Sverige,92982.9
12,2023,Sverige,88438.8
13,2018,Nederlandene,48396.3
14,2019,Nederlandene,49997.8
15,2020,Nederlandene,52552.6
16,2021,Nederlandene,63223.8
17,2022,Nederlandene,71590.9
18,2023,Nederlandene,73285.5
19,2018,Frankrig,19172.4
20,2019,Frankrig,20137
21,2020,Frankrig,20685.8
22,2021,Frankrig,23719
23,2022,Frankrig,24762.6
24,2023,Frankrig,25044.4
25,2018,Norge,15938.6
26,2019,Norge,16557.1
27,2020,Norge,15770.9
28,2021,Norge,17892.7
29,2022,Norge,22941.7
30,2023,Norge,23984.4
31,2018,Storbritannien,22604.6
32,2019,Storbritannien,22362.6
33,2020,Storbritannien,20123.1
34,2021,Storbritannien,14901.7
35,2022,Storbritannien,17055.6
36,2023,Storbritannien,15479.3
37,2018,USA,14802.7
38,2019,USA,16412.3
39,2020,USA,15916.8
40,2021,USA,17313.7
41,2022,USA,20592
42,2023,USA,21466.7
43,2018,Kina,43979.8
44,2019,Kina,46077.3
45,2020,Kina,49903.9
46,2021,Kina,65068.6
47,2022,Kina,78706.1
48,2023,Kina,55596.3
49,2018,Rusland,5255
50,2019,Rusland,4990.2
51,2020,Rusland,4531
52,2021,Rusland,7412.6
53,2022,Rusland,5392.9
54,2023,Rusland,2390.1
55,2018,Tyskland,103175.8
56,2019,Tyskland,104384.5
57,2020,Tyskland,94470.2
58,2021,Tyskland,103252.5
59,2022,Tyskland,121725.3
60,2023,Tyskland,121946.6
61,2018,Sverige,63375.7
62,2019,Sverige,63483.2
63,2020,Sverige,61867.6
64,2021,Sverige,72319.1
65,2022,Sverige,78213.4
66,2023,Sverige,74238.7
67,2018,Nederlandene,27305
68,2019,Nederlandene,32895.4
69,2020,Nederlandene,39672.3
70,2021,Nederlandene,35340.5
71,2022,Nederlandene,41332.4
72,2023,Nederlandene,45792.2
73,2018,Frankrig,24475.7
74,2019,Frankrig,25478.8
75,2020,Frankrig,24585.4
76,2021,Frankrig,27820.6
77,2022,Frankrig,34541.3
78,2023,Frankrig,34257.9
79,2018,Norge,40807.1
80,2019,Norge,43316.3
81,2020,Norge,42469.6
82,2021,Norge,46329.2
83,2022,Norge,51277.9
84,2023,Norge,49377.7
85,2018,Storbritannien,42303.1
86,2019,Storbritannien,42044.7
87,2020,Storbritannien,34376.7
88,2021,Storbritannien,41074.4
89,2022,Storbritannien,39762.4
90,2023,Storbritannien,41642.4
91,2018,USA,54824.9
92,2019,USA,75146.6
93,2020,USA,76934.2
94,2021,USA,73021.3
95,2022,USA,87027.1
96,2023,USA,71830.8
97,2018,Kina,28390.8
98,2019,Kina,36097.6
99,2020,Kina,41168.9
100,2021,Kina,44253.2
101,2022,Kina,42396.4
102,2023,Kina,39741.6
103,2018,Rusland,6269.5
104,2019,Rusland,7293.9
105,2020,Rusland,6818.4
106,2021,Rusland,7616
107,2022,Rusland,3277.1
108,2023,Rusland,1515.5
