id,År,LAND,EKSPORT
55,2018,Tyskland,103175.8
56,2019,Tyskland,104384.5
57,2020,Tyskland,94470.2
58,2021,Tyskland,103252.5
59,2022,Tyskland,121725.3
60,2023,Tyskland,121946.6
61,2018,Sverige,63375.7
62,2019,Sverige,63483.2
63,2020,Sverige,61867.6
64,2021,Sverige,72319.1
65,2022,Sverige,78213.4
66,2023,Sverige,74238.7
67,2018,Nederlandene,27305
68,2019,Nederlandene,32895.4
69,2020,Nederlandene,39672.3
70,2021,Nederlandene,35340.5
71,2022,Nederlandene,41332.4
72,2023,Nederlandene,45792.2
73,2018,Frankrig,24475.7
74,2019,Frankrig,25478.8
75,2020,Frankrig,24585.4
76,2021,Frankrig,27820.6
77,2022,Frankrig,34541.3
78,2023,Frankrig,34257.9
79,2018,Norge,40807.1
80,2019,Norge,43316.3
81,2020,Norge,42469.6
82,2021,Norge,46329.2
83,2022,Norge,51277.9
84,2023,Norge,49377.7
85,2018,Storbritannien,42303.1
86,2019,Storbritannien,42044.7
87,2020,Storbritannien,34376.7
88,2021,Storbritannien,41074.4
89,2022,Storbritannien,39762.4
90,2023,Storbritannien,41642.4
91,2018,USA,54824.9
92,2019,USA,75146.6
93,2020,USA,76934.2
94,2021,USA,73021.3
95,2022,USA,87027.1
96,2023,USA,71830.8
97,2018,Kina,28390.8
98,2019,Kina,36097.6
99,2020,Kina,41168.9
100,2021,Kina,44253.2
101,2022,Kina,42396.4
102,2023,Kina,39741.6
103,2018,Rusland,6269.5
104,2019,Rusland,7293.9
105,2020,Rusland,6818.4
106,2021,Rusland,7616
107,2022,Rusland,3277.1
108,2023,Rusland,1515.5
