land,tid,import,export
BRIIKS,2018,58636.8,45038.9
BRIIKS,2019,60484.4,56264.9
BRIIKS,2020,62870,59358.7
BRIIKS,2021,82788.8,64992.1
BRIIKS,2022,98402,62279.7
BRIIKS,2023,70360.8,58103.7
EU-27,2018,404387.8,339942.1
EU-27,2019,419753.2,356395.6
EU-27,2020,429647.4,347168.8
EU-27,2021,491673.4,382767.3
EU-27,2022,549017.6,447618
EU-27,2023,529716.3,451929
Frankrig,2018,19172.4,24475.7
Frankrig,2019,20137,25478.8
Frankrig,2020,20685.8,24585.4
Frankrig,2021,23719,27820.6
Frankrig,2022,24762.6,34541.3
Frankrig,2023,25044.4,34257.9
Kina,2018,43979.8,28390.8
Kina,2019,46077.3,36097.6
Kina,2020,49903.9,41168.9
Kina,2021,65068.6,44253.2
Kina,2022,78706.1,42396.4
Kina,2023,55596.3,39741.6
LANDE I ALT,2018,570772.7,642670.4
LANDE I ALT,2019,594264.3,697248.8
LANDE I ALT,2020,600717.8,681558.5
LANDE I ALT,2021,690174,743922.2
LANDE I ALT,2022,790790.5,843754.8
LANDE I ALT,2023,734466.4,832009.1
Nederlandene,2018,48396.3,27305
Nederlandene,2019,49997.8,32895.4
Nederlandene,2020,52552.6,39672.3
Nederlandene,2021,63223.8,35340.5
Nederlandene,2022,71590.9,41332.4
Nederlandene,2023,73285.5,45792.2
Norge,2018,15938.6,40807.1
Norge,2019,16557.1,43316.3
Norge,2020,15770.9,42469.6
Norge,2021,17892.7,46329.2
Norge,2022,22941.7,51277.9
Norge,2023,23984.4,49377.7
Rusland,2018,5255,6269.5
Rusland,2019,4990.2,7293.9
Rusland,2020,4531,6818.4
Rusland,2021,7412.6,7616
Rusland,2022,5392.9,3277.1
Rusland,2023,2390.1,1515.5
Storbritannien,2018,22604.6,42303.1
Storbritannien,2019,22362.6,42044.7
Storbritannien,2020,20123.1,34376.7
Storbritannien,2021,14901.7,41074.4
Storbritannien,2022,17055.6,39762.4
Storbritannien,2023,15479.3,41642.4
Sverige,2018,70401.4,63375.7
Sverige,2019,72722.1,63483.2
Sverige,2020,75817.3,61867.6
Sverige,2021,87994.1,72319.1
Sverige,2022,92982.9,78213.4
Sverige,2023,88438.8,74238.7
Tyskland,2018,131793.6,103175.8
Tyskland,2019,136415.6,104384.5
Tyskland,2020,136098.2,94470.2
Tyskland,2021,150152.7,103252.5
Tyskland,2022,166460.9,121725.3
Tyskland,2023,159274.1,121946.6
USA,2018,14802.7,54824.9
USA,2019,16412.3,75146.6
USA,2020,15916.8,76934.2
USA,2021,17313.7,73021.3
USA,2022,20592,87027.1
USA,2023,21466.7,71830.8
Verden uden for EU,2018,166384.9,302728.3
Verden uden for EU,2019,174511.2,340853.2
Verden uden for EU,2020,171070.5,334389.5
Verden uden for EU,2021,198500.6,361154.9
Verden uden for EU,2022,241773,396136.8
Verden uden for EU,2023,204750.2,380080.1
