,LAND,TID,SITC,INDHOLD
11,Afghanistan,2018,Diverse fremstillede varer,239
12,Afghanistan,2019,Diverse fremstillede varer,55
13,Afghanistan,2020,Diverse fremstillede varer,31
14,Afghanistan,2021,Diverse fremstillede varer,84
26,Albanien,2018,Diverse fremstillede varer,766
27,Albanien,2019,Diverse fremstillede varer,622
28,Albanien,2020,Diverse fremstillede varer,559
29,Albanien,2021,Diverse fremstillede varer,474
41,Algeriet,2018,Diverse fremstillede varer,0
42,Algeriet,2019,Diverse fremstillede varer,0
43,Algeriet,2020,Diverse fremstillede varer,0
44,Algeriet,2021,Diverse fremstillede varer,0
56,Amerikansk Oceanien,2018,Diverse fremstillede varer,0
57,Amerikansk Oceanien,2019,Diverse fremstillede varer,0
58,Amerikansk Oceanien,2020,Diverse fremstillede varer,0
59,Amerikansk Oceanien,2021,Diverse fremstillede varer,0
71,Amerikansk Samoa,2018,Diverse fremstillede varer,0
72,Amerikansk Samoa,2019,Diverse fremstillede varer,0
73,Amerikansk Samoa,2020,Diverse fremstillede varer,0
74,Amerikansk Samoa,2021,Diverse fremstillede varer,0
86,Amerikanske Jomfruøer,2018,Diverse fremstillede varer,0
87,Amerikanske Jomfruøer,2019,Diverse fremstillede varer,3
88,Amerikanske Jomfruøer,2020,Diverse fremstillede varer,0
89,Amerikanske Jomfruøer,2021,Diverse fremstillede varer,4
101,Andorra,2018,Diverse fremstillede varer,0
102,Andorra,2019,Diverse fremstillede varer,0
103,Andorra,2020,Diverse fremstillede varer,0
104,Andorra,2021,Diverse fremstillede varer,145
116,Angola,2018,Diverse fremstillede varer,0
117,Angola,2019,Diverse fremstillede varer,0
118,Angola,2020,Diverse fremstillede varer,0
119,Angola,2021,Diverse fremstillede varer,0
131,Anguilla,2018,Diverse fremstillede varer,0
132,Anguilla,2019,Diverse fremstillede varer,0
133,Anguilla,2020,Diverse fremstillede varer,0
134,Anguilla,2021,Diverse fremstillede varer,0
146,Antarktis,2018,Diverse fremstillede varer,0
147,Antarktis,2019,Diverse fremstillede varer,0
148,Antarktis,2020,Diverse fremstillede varer,0
149,Antarktis,2021,Diverse fremstillede varer,0
161,Antigua og Barbuda,2018,Diverse fremstillede varer,0
162,Antigua og Barbuda,2019,Diverse fremstillede varer,30
163,Antigua og Barbuda,2020,Diverse fremstillede varer,0
164,Antigua og Barbuda,2021,Diverse fremstillede varer,27
176,Argentina,2018,Diverse fremstillede varer,1757
177,Argentina,2019,Diverse fremstillede varer,572
178,Argentina,2020,Diverse fremstillede varer,684
179,Argentina,2021,Diverse fremstillede varer,906
191,Armenien,2018,Diverse fremstillede varer,0
192,Armenien,2019,Diverse fremstillede varer,0
193,Armenien,2020,Diverse fremstillede varer,2
194,Armenien,2021,Diverse fremstillede varer,0
206,Aruba,2018,Diverse fremstillede varer,2
207,Aruba,2019,Diverse fremstillede varer,0
208,Aruba,2020,Diverse fremstillede varer,0
209,Aruba,2021,Diverse fremstillede varer,0
221,Aserbajdsjan,2018,Diverse fremstillede varer,12
222,Aserbajdsjan,2019,Diverse fremstillede varer,0
223,Aserbajdsjan,2020,Diverse fremstillede varer,0
224,Aserbajdsjan,2021,Diverse fremstillede varer,0
236,Australien,2018,Diverse fremstillede varer,1361
237,Australien,2019,Diverse fremstillede varer,2776
238,Australien,2020,Diverse fremstillede varer,4681
239,Australien,2021,Diverse fremstillede varer,2135
251,Australsk Oceanien,2018,Diverse fremstillede varer,0
252,Australsk Oceanien,2019,Diverse fremstillede varer,0
253,Australsk Oceanien,2020,Diverse fremstillede varer,0
254,Australsk Oceanien,2021,Diverse fremstillede varer,0
266,Bahamas,2018,Diverse fremstillede varer,0
267,Bahamas,2019,Diverse fremstillede varer,0
268,Bahamas,2020,Diverse fremstillede varer,0
269,Bahamas,2021,Diverse fremstillede varer,0
281,Bahrain,2018,Diverse fremstillede varer,3859
282,Bahrain,2019,Diverse fremstillede varer,4928
283,Bahrain,2020,Diverse fremstillede varer,7875
284,Bahrain,2021,Diverse fremstillede varer,16070
296,Bangladesh,2018,Diverse fremstillede varer,62279
297,Bangladesh,2019,Diverse fremstillede varer,42571
298,Bangladesh,2020,Diverse fremstillede varer,54214
299,Bangladesh,2021,Diverse fremstillede varer,79803
311,Barbados,2018,Diverse fremstillede varer,0
312,Barbados,2019,Diverse fremstillede varer,0
313,Barbados,2020,Diverse fremstillede varer,0
314,Barbados,2021,Diverse fremstillede varer,0
326,Belarus,2018,Diverse fremstillede varer,37555
327,Belarus,2019,Diverse fremstillede varer,51082
328,Belarus,2020,Diverse fremstillede varer,76044
329,Belarus,2021,Diverse fremstillede varer,141853
341,Belgien,2018,Diverse fremstillede varer,334662
342,Belgien,2019,Diverse fremstillede varer,348783
343,Belgien,2020,Diverse fremstillede varer,417298
344,Belgien,2021,Diverse fremstillede varer,533085
356,Belize,2018,Diverse fremstillede varer,0
357,Belize,2019,Diverse fremstillede varer,0
358,Belize,2020,Diverse fremstillede varer,0
359,Belize,2021,Diverse fremstillede varer,0
371,Benin,2018,Diverse fremstillede varer,0
372,Benin,2019,Diverse fremstillede varer,0
373,Benin,2020,Diverse fremstillede varer,0
374,Benin,2021,Diverse fremstillede varer,0
386,Bermuda,2018,Diverse fremstillede varer,0
387,Bermuda,2019,Diverse fremstillede varer,0
388,Bermuda,2020,Diverse fremstillede varer,0
389,Bermuda,2021,Diverse fremstillede varer,0
