ID,LAND,TID,INDHOLD,SITC
11,Afghanistan,2018,174,Diverse fremstillede varer
12,Afghanistan,2019,172,Diverse fremstillede varer
13,Afghanistan,2020,0,Diverse fremstillede varer
14,Afghanistan,2021,0,Diverse fremstillede varer
26,Albanien,2018,6962,Diverse fremstillede varer
27,Albanien,2019,9110,Diverse fremstillede varer
28,Albanien,2020,4020,Diverse fremstillede varer
29,Albanien,2021,3336,Diverse fremstillede varer
41,Algeriet,2018,1803,Diverse fremstillede varer
42,Algeriet,2019,1018,Diverse fremstillede varer
43,Algeriet,2020,443,Diverse fremstillede varer
44,Algeriet,2021,416,Diverse fremstillede varer
56,Amerikansk Oceanien,2018,0,Diverse fremstillede varer
57,Amerikansk Oceanien,2019,0,Diverse fremstillede varer
58,Amerikansk Oceanien,2020,0,Diverse fremstillede varer
59,Amerikansk Oceanien,2021,0,Diverse fremstillede varer
71,Amerikansk Samoa,2018,0,Diverse fremstillede varer
72,Amerikansk Samoa,2019,0,Diverse fremstillede varer
73,Amerikansk Samoa,2020,0,Diverse fremstillede varer
74,Amerikansk Samoa,2021,0,Diverse fremstillede varer
86,Amerikanske Jomfruøer,2018,120,Diverse fremstillede varer
87,Amerikanske Jomfruøer,2019,0,Diverse fremstillede varer
88,Amerikanske Jomfruøer,2020,0,Diverse fremstillede varer
89,Amerikanske Jomfruøer,2021,24,Diverse fremstillede varer
101,Andorra,2018,891,Diverse fremstillede varer
102,Andorra,2019,1321,Diverse fremstillede varer
103,Andorra,2020,643,Diverse fremstillede varer
104,Andorra,2021,615,Diverse fremstillede varer
116,Angola,2018,377,Diverse fremstillede varer
117,Angola,2019,525,Diverse fremstillede varer
118,Angola,2020,870,Diverse fremstillede varer
119,Angola,2021,850,Diverse fremstillede varer
131,Anguilla,2018,0,Diverse fremstillede varer
132,Anguilla,2019,11,Diverse fremstillede varer
133,Anguilla,2020,0,Diverse fremstillede varer
134,Anguilla,2021,0,Diverse fremstillede varer
146,Antarktis,2018,0,Diverse fremstillede varer
147,Antarktis,2019,0,Diverse fremstillede varer
148,Antarktis,2020,9,Diverse fremstillede varer
149,Antarktis,2021,0,Diverse fremstillede varer
161,Antigua og Barbuda,2018,50,Diverse fremstillede varer
162,Antigua og Barbuda,2019,1093,Diverse fremstillede varer
163,Antigua og Barbuda,2020,0,Diverse fremstillede varer
164,Antigua og Barbuda,2021,101,Diverse fremstillede varer
176,Argentina,2018,4977,Diverse fremstillede varer
177,Argentina,2019,3342,Diverse fremstillede varer
178,Argentina,2020,1754,Diverse fremstillede varer
179,Argentina,2021,2559,Diverse fremstillede varer
191,Armenien,2018,1430,Diverse fremstillede varer
192,Armenien,2019,1375,Diverse fremstillede varer
193,Armenien,2020,996,Diverse fremstillede varer
194,Armenien,2021,976,Diverse fremstillede varer
206,Aruba,2018,173,Diverse fremstillede varer
207,Aruba,2019,149,Diverse fremstillede varer
208,Aruba,2020,182,Diverse fremstillede varer
209,Aruba,2021,12,Diverse fremstillede varer
221,Aserbajdsjan,2018,1140,Diverse fremstillede varer
222,Aserbajdsjan,2019,784,Diverse fremstillede varer
223,Aserbajdsjan,2020,1093,Diverse fremstillede varer
224,Aserbajdsjan,2021,2327,Diverse fremstillede varer
236,Australien,2018,311365,Diverse fremstillede varer
237,Australien,2019,289936,Diverse fremstillede varer
238,Australien,2020,291378,Diverse fremstillede varer
239,Australien,2021,284228,Diverse fremstillede varer
251,Australsk Oceanien,2018,0,Diverse fremstillede varer
252,Australsk Oceanien,2019,0,Diverse fremstillede varer
253,Australsk Oceanien,2020,0,Diverse fremstillede varer
254,Australsk Oceanien,2021,0,Diverse fremstillede varer
266,Bahamas,2018,18916,Diverse fremstillede varer
267,Bahamas,2019,10808,Diverse fremstillede varer
268,Bahamas,2020,90,Diverse fremstillede varer
269,Bahamas,2021,39,Diverse fremstillede varer
281,Bahrain,2018,5832,Diverse fremstillede varer
282,Bahrain,2019,7154,Diverse fremstillede varer
283,Bahrain,2020,2864,Diverse fremstillede varer
284,Bahrain,2021,2827,Diverse fremstillede varer
296,Bangladesh,2018,199,Diverse fremstillede varer
297,Bangladesh,2019,1254,Diverse fremstillede varer
298,Bangladesh,2020,2339,Diverse fremstillede varer
299,Bangladesh,2021,1454,Diverse fremstillede varer
311,Barbados,2018,168,Diverse fremstillede varer
312,Barbados,2019,133,Diverse fremstillede varer
313,Barbados,2020,0,Diverse fremstillede varer
314,Barbados,2021,0,Diverse fremstillede varer
326,Belarus,2018,13232,Diverse fremstillede varer
327,Belarus,2019,5243,Diverse fremstillede varer
328,Belarus,2020,3776,Diverse fremstillede varer
329,Belarus,2021,5099,Diverse fremstillede varer
341,Belgien,2018,639598,Diverse fremstillede varer
342,Belgien,2019,691631,Diverse fremstillede varer
343,Belgien,2020,760042,Diverse fremstillede varer
344,Belgien,2021,946585,Diverse fremstillede varer
356,Belize,2018,0,Diverse fremstillede varer
357,Belize,2019,0,Diverse fremstillede varer
358,Belize,2020,0,Diverse fremstillede varer
359,Belize,2021,0,Diverse fremstillede varer
371,Benin,2018,7,Diverse fremstillede varer
372,Benin,2019,10,Diverse fremstillede varer
373,Benin,2020,10,Diverse fremstillede varer
374,Benin,2021,331,Diverse fremstillede varer
386,Bermuda,2018,23,Diverse fremstillede varer
387,Bermuda,2019,285,Diverse fremstillede varer
388,Bermuda,2020,16,Diverse fremstillede varer
389,Bermuda,2021,0,Diverse fremstillede varer
401,Bhutan,2018,0,Diverse fremstillede varer
402,Bhutan,2019,0,Diverse fremstillede varer
