ID,LAND,TID,INDHOLD,SITC
11,Afghanistan,2018,99,Kemikalier og relaterede produkter
12,Afghanistan,2019,2316,Kemikalier og relaterede produkter
13,Afghanistan,2020,2858,Kemikalier og relaterede produkter
14,Afghanistan,2021,2859,Kemikalier og relaterede produkter
26,Albanien,2018,35004,Kemikalier og relaterede produkter
27,Albanien,2019,58374,Kemikalier og relaterede produkter
28,Albanien,2020,39211,Kemikalier og relaterede produkter
29,Albanien,2021,42077,Kemikalier og relaterede produkter
41,Algeriet,2018,1402695,Kemikalier og relaterede produkter
42,Algeriet,2019,1453545,Kemikalier og relaterede produkter
43,Algeriet,2020,1236536,Kemikalier og relaterede produkter
44,Algeriet,2021,1150990,Kemikalier og relaterede produkter
56,Amerikansk Oceanien,2018,0,Kemikalier og relaterede produkter
57,Amerikansk Oceanien,2019,0,Kemikalier og relaterede produkter
58,Amerikansk Oceanien,2020,0,Kemikalier og relaterede produkter
59,Amerikansk Oceanien,2021,0,Kemikalier og relaterede produkter
71,Amerikansk Samoa,2018,0,Kemikalier og relaterede produkter
72,Amerikansk Samoa,2019,0,Kemikalier og relaterede produkter
73,Amerikansk Samoa,2020,0,Kemikalier og relaterede produkter
74,Amerikansk Samoa,2021,0,Kemikalier og relaterede produkter
86,Amerikanske Jomfruøer,2018,0,Kemikalier og relaterede produkter
87,Amerikanske Jomfruøer,2019,671,Kemikalier og relaterede produkter
88,Amerikanske Jomfruøer,2020,0,Kemikalier og relaterede produkter
89,Amerikanske Jomfruøer,2021,0,Kemikalier og relaterede produkter
101,Andorra,2018,108,Kemikalier og relaterede produkter
102,Andorra,2019,14,Kemikalier og relaterede produkter
103,Andorra,2020,232,Kemikalier og relaterede produkter
104,Andorra,2021,0,Kemikalier og relaterede produkter
116,Angola,2018,4952,Kemikalier og relaterede produkter
117,Angola,2019,1678,Kemikalier og relaterede produkter
118,Angola,2020,11248,Kemikalier og relaterede produkter
119,Angola,2021,3987,Kemikalier og relaterede produkter
131,Anguilla,2018,0,Kemikalier og relaterede produkter
132,Anguilla,2019,0,Kemikalier og relaterede produkter
133,Anguilla,2020,17,Kemikalier og relaterede produkter
134,Anguilla,2021,70,Kemikalier og relaterede produkter
146,Antarktis,2018,0,Kemikalier og relaterede produkter
147,Antarktis,2019,0,Kemikalier og relaterede produkter
148,Antarktis,2020,8,Kemikalier og relaterede produkter
149,Antarktis,2021,0,Kemikalier og relaterede produkter
161,Antigua og Barbuda,2018,1107,Kemikalier og relaterede produkter
162,Antigua og Barbuda,2019,1135,Kemikalier og relaterede produkter
163,Antigua og Barbuda,2020,0,Kemikalier og relaterede produkter
164,Antigua og Barbuda,2021,718,Kemikalier og relaterede produkter
176,Argentina,2018,931220,Kemikalier og relaterede produkter
177,Argentina,2019,802852,Kemikalier og relaterede produkter
178,Argentina,2020,1015770,Kemikalier og relaterede produkter
179,Argentina,2021,710057,Kemikalier og relaterede produkter
191,Armenien,2018,11627,Kemikalier og relaterede produkter
192,Armenien,2019,14753,Kemikalier og relaterede produkter
193,Armenien,2020,13668,Kemikalier og relaterede produkter
194,Armenien,2021,12272,Kemikalier og relaterede produkter
206,Aruba,2018,15074,Kemikalier og relaterede produkter
207,Aruba,2019,18814,Kemikalier og relaterede produkter
208,Aruba,2020,551,Kemikalier og relaterede produkter
209,Aruba,2021,16,Kemikalier og relaterede produkter
221,Aserbajdsjan,2018,54394,Kemikalier og relaterede produkter
222,Aserbajdsjan,2019,53372,Kemikalier og relaterede produkter
223,Aserbajdsjan,2020,58006,Kemikalier og relaterede produkter
224,Aserbajdsjan,2021,69052,Kemikalier og relaterede produkter
