ID,LAND,TID,INDHOLD,SITC
11,Afghanistan,2018,37218,Maskiner og transportmidler
12,Afghanistan,2019,33901,Maskiner og transportmidler
13,Afghanistan,2020,33459,Maskiner og transportmidler
14,Afghanistan,2021,20493,Maskiner og transportmidler
26,Albanien,2018,9851,Maskiner og transportmidler
27,Albanien,2019,7312,Maskiner og transportmidler
28,Albanien,2020,21971,Maskiner og transportmidler
29,Albanien,2021,22619,Maskiner og transportmidler
41,Algeriet,2018,196177,Maskiner og transportmidler
42,Algeriet,2019,98610,Maskiner og transportmidler
43,Algeriet,2020,92376,Maskiner og transportmidler
44,Algeriet,2021,68409,Maskiner og transportmidler
56,Amerikansk Oceanien,2018,0,Maskiner og transportmidler
57,Amerikansk Oceanien,2019,0,Maskiner og transportmidler
58,Amerikansk Oceanien,2020,0,Maskiner og transportmidler
59,Amerikansk Oceanien,2021,0,Maskiner og transportmidler
71,Amerikansk Samoa,2018,28,Maskiner og transportmidler
72,Amerikansk Samoa,2019,1464,Maskiner og transportmidler
73,Amerikansk Samoa,2020,0,Maskiner og transportmidler
74,Amerikansk Samoa,2021,0,Maskiner og transportmidler
86,Amerikanske Jomfruøer,2018,208,Maskiner og transportmidler
87,Amerikanske Jomfruøer,2019,134,Maskiner og transportmidler
88,Amerikanske Jomfruøer,2020,346,Maskiner og transportmidler
89,Amerikanske Jomfruøer,2021,607,Maskiner og transportmidler
101,Andorra,2018,903,Maskiner og transportmidler
102,Andorra,2019,186,Maskiner og transportmidler
103,Andorra,2020,219,Maskiner og transportmidler
104,Andorra,2021,81,Maskiner og transportmidler
116,Angola,2018,31759,Maskiner og transportmidler
117,Angola,2019,57991,Maskiner og transportmidler
118,Angola,2020,54037,Maskiner og transportmidler
119,Angola,2021,42940,Maskiner og transportmidler
131,Anguilla,2018,207,Maskiner og transportmidler
132,Anguilla,2019,0,Maskiner og transportmidler
133,Anguilla,2020,0,Maskiner og transportmidler
134,Anguilla,2021,166,Maskiner og transportmidler
146,Antarktis,2018,0,Maskiner og transportmidler
147,Antarktis,2019,0,Maskiner og transportmidler
148,Antarktis,2020,0,Maskiner og transportmidler
