,LAND,TID,INDHOLD,SITC
11,Afghanistan,2018,3,Mineralbrændstoffer og smøremidler
12,Afghanistan,2019,178,Mineralbrændstoffer og smøremidler
13,Afghanistan,2020,418,Mineralbrændstoffer og smøremidler
14,Afghanistan,2021,636,Mineralbrændstoffer og smøremidler
26,Albanien,2018,119,Mineralbrændstoffer og smøremidler
27,Albanien,2019,40,Mineralbrændstoffer og smøremidler
28,Albanien,2020,441,Mineralbrændstoffer og smøremidler
29,Albanien,2021,396,Mineralbrændstoffer og smøremidler
41,Algeriet,2018,4701,Mineralbrændstoffer og smøremidler
42,Algeriet,2019,4769,Mineralbrændstoffer og smøremidler
43,Algeriet,2020,3873,Mineralbrændstoffer og smøremidler
44,Algeriet,2021,3523,Mineralbrændstoffer og smøremidler
56,Amerikansk Oceanien,2018,0,Mineralbrændstoffer og smøremidler
57,Amerikansk Oceanien,2019,0,Mineralbrændstoffer og smøremidler
58,Amerikansk Oceanien,2020,0,Mineralbrændstoffer og smøremidler
59,Amerikansk Oceanien,2021,0,Mineralbrændstoffer og smøremidler
71,Amerikansk Samoa,2018,0,Mineralbrændstoffer og smøremidler
72,Amerikansk Samoa,2019,0,Mineralbrændstoffer og smøremidler
73,Amerikansk Samoa,2020,0,Mineralbrændstoffer og smøremidler
74,Amerikansk Samoa,2021,0,Mineralbrændstoffer og smøremidler
86,Amerikanske Jomfruøer,2018,0,Mineralbrændstoffer og smøremidler
87,Amerikanske Jomfruøer,2019,137,Mineralbrændstoffer og smøremidler
88,Amerikanske Jomfruøer,2020,0,Mineralbrændstoffer og smøremidler
89,Amerikanske Jomfruøer,2021,0,Mineralbrændstoffer og smøremidler
101,Andorra,2018,3,Mineralbrændstoffer og smøremidler
102,Andorra,2019,30,Mineralbrændstoffer og smøremidler
103,Andorra,2020,35,Mineralbrændstoffer og smøremidler
104,Andorra,2021,23,Mineralbrændstoffer og smøremidler
116,Angola,2018,269,Mineralbrændstoffer og smøremidler
117,Angola,2019,259,Mineralbrændstoffer og smøremidler
118,Angola,2020,2441,Mineralbrændstoffer og smøremidler
119,Angola,2021,3062,Mineralbrændstoffer og smøremidler
131,Anguilla,2018,0,Mineralbrændstoffer og smøremidler
132,Anguilla,2019,0,Mineralbrændstoffer og smøremidler
133,Anguilla,2020,0,Mineralbrændstoffer og smøremidler
134,Anguilla,2021,0,Mineralbrændstoffer og smøremidler
146,Antarktis,2018,0,Mineralbrændstoffer og smøremidler
147,Antarktis,2019,0,Mineralbrændstoffer og smøremidler
148,Antarktis,2020,0,Mineralbrændstoffer og smøremidler
149,Antarktis,2021,0,Mineralbrændstoffer og smøremidler
161,Antigua og Barbuda,2018,27000,Mineralbrændstoffer og smøremidler
162,Antigua og Barbuda,2019,26754,Mineralbrændstoffer og smøremidler
163,Antigua og Barbuda,2020,9556,Mineralbrændstoffer og smøremidler
164,Antigua og Barbuda,2021,28073,Mineralbrændstoffer og smøremidler
176,Argentina,2018,10951,Mineralbrændstoffer og smøremidler
177,Argentina,2019,12301,Mineralbrændstoffer og smøremidler
178,Argentina,2020,9526,Mineralbrændstoffer og smøremidler
179,Argentina,2021,9591,Mineralbrændstoffer og smøremidler
191,Armenien,2018,737,Mineralbrændstoffer og smøremidler
192,Armenien,2019,667,Mineralbrændstoffer og smøremidler
193,Armenien,2020,535,Mineralbrændstoffer og smøremidler
194,Armenien,2021,424,Mineralbrændstoffer og smøremidler
206,Aruba,2018,115,Mineralbrændstoffer og smøremidler
207,Aruba,2019,128,Mineralbrændstoffer og smøremidler
208,Aruba,2020,264,Mineralbrændstoffer og smøremidler
209,Aruba,2021,239,Mineralbrændstoffer og smøremidler
221,Aserbajdsjan,2018,3191,Mineralbrændstoffer og smøremidler
222,Aserbajdsjan,2019,1273,Mineralbrændstoffer og smøremidler
223,Aserbajdsjan,2020,1959,Mineralbrændstoffer og smøremidler
224,Aserbajdsjan,2021,747,Mineralbrændstoffer og smøremidler
236,Australien,2018,64296,Mineralbrændstoffer og smøremidler
237,Australien,2019,72602,Mineralbrændstoffer og smøremidler
238,Australien,2020,45494,Mineralbrændstoffer og smøremidler
239,Australien,2021,54064,Mineralbrændstoffer og smøremidler
251,Australsk Oceanien,2018,0,Mineralbrændstoffer og smøremidler
252,Australsk Oceanien,2019,0,Mineralbrændstoffer og smøremidler
253,Australsk Oceanien,2020,0,Mineralbrændstoffer og smøremidler
254,Australsk Oceanien,2021,0,Mineralbrændstoffer og smøremidler
266,Bahamas,2018,31790,Mineralbrændstoffer og smøremidler
267,Bahamas,2019,74956,Mineralbrændstoffer og smøremidler
268,Bahamas,2020,9678,Mineralbrændstoffer og smøremidler
269,Bahamas,2021,28610,Mineralbrændstoffer og smøremidler
281,Bahrain,2018,3052,Mineralbrændstoffer og smøremidler
282,Bahrain,2019,2614,Mineralbrændstoffer og smøremidler
283,Bahrain,2020,2119,Mineralbrændstoffer og smøremidler
284,Bahrain,2021,3355,Mineralbrændstoffer og smøremidler
296,Bangladesh,2018,5023,Mineralbrændstoffer og smøremidler
297,Bangladesh,2019,4010,Mineralbrændstoffer og smøremidler
298,Bangladesh,2020,10701,Mineralbrændstoffer og smøremidler
299,Bangladesh,2021,4679,Mineralbrændstoffer og smøremidler
311,Barbados,2018,0,Mineralbrændstoffer og smøremidler
312,Barbados,2019,23145,Mineralbrændstoffer og smøremidler
313,Barbados,2020,15,Mineralbrændstoffer og smøremidler
314,Barbados,2021,252,Mineralbrændstoffer og smøremidler
326,Belarus,2018,5157,Mineralbrændstoffer og smøremidler
327,Belarus,2019,5255,Mineralbrændstoffer og smøremidler
328,Belarus,2020,3419,Mineralbrændstoffer og smøremidler
329,Belarus,2021,2827,Mineralbrændstoffer og smøremidler
341,Belgien,2018,555653,Mineralbrændstoffer og smøremidler
342,Belgien,2019,1025158,Mineralbrændstoffer og smøremidler
343,Belgien,2020,556687,Mineralbrændstoffer og smøremidler
344,Belgien,2021,487564,Mineralbrændstoffer og smøremidler
356,Belize,2018,3,Mineralbrændstoffer og smøremidler
357,Belize,2019,308,Mineralbrændstoffer og smøremidler
358,Belize,2020,0,Mineralbrændstoffer og smøremidler
359,Belize,2021,2,Mineralbrændstoffer og smøremidler
371,Benin,2018,1043,Mineralbrændstoffer og smøremidler
372,Benin,2019,844,Mineralbrændstoffer og smøremidler
373,Benin,2020,745,Mineralbrændstoffer og smøremidler
374,Benin,2021,438,Mineralbrændstoffer og smøremidler
386,Bermuda,2018,52,Mineralbrændstoffer og smøremidler
387,Bermuda,2019,82,Mineralbrændstoffer og smøremidler
388,Bermuda,2020,42,Mineralbrændstoffer og smøremidler
389,Bermuda,2021,140,Mineralbrændstoffer og smøremidler
401,Bhutan,2018,0,Mineralbrændstoffer og smøremidler
402,Bhutan,2019,0,Mineralbrændstoffer og smøremidler
403,Bhutan,2020,0,Mineralbrændstoffer og smøremidler
404,Bhutan,2021,0,Mineralbrændstoffer og smøremidler
416,Bolivia,2018,1247,Mineralbrændstoffer og smøremidler
417,Bolivia,2019,1844,Mineralbrændstoffer og smøremidler
418,Bolivia,2020,861,Mineralbrændstoffer og smøremidler
419,Bolivia,2021,1512,Mineralbrændstoffer og smøremidler
431,"Bonaire, Sint Eustatius og Saba",2018,2,Mineralbrændstoffer og smøremidler
432,"Bonaire, Sint Eustatius og Saba",2019,4,Mineralbrændstoffer og smøremidler
433,"Bonaire, Sint Eustatius og Saba",2020,385,Mineralbrændstoffer og smøremidler
434,"Bonaire, Sint Eustatius og Saba",2021,89,Mineralbrændstoffer og smøremidler
446,Bosnien-Hercegovina,2018,2216,Mineralbrændstoffer og smøremidler
447,Bosnien-Hercegovina,2019,2244,Mineralbrændstoffer og smøremidler
448,Bosnien-Hercegovina,2020,1645,Mineralbrændstoffer og smøremidler
449,Bosnien-Hercegovina,2021,3586,Mineralbrændstoffer og smøremidler
461,Botswana,2018,0,Mineralbrændstoffer og smøremidler
462,Botswana,2019,2,Mineralbrændstoffer og smøremidler
463,Botswana,2020,4,Mineralbrændstoffer og smøremidler
464,Botswana,2021,1,Mineralbrændstoffer og smøremidler
476,Bouvetøen,2018,0,Mineralbrændstoffer og smøremidler
477,Bouvetøen,2019,0,Mineralbrændstoffer og smøremidler
478,Bouvetøen,2020,0,Mineralbrændstoffer og smøremidler
479,Bouvetøen,2021,0,Mineralbrændstoffer og smøremidler
491,Brasilien,2018,39519,Mineralbrændstoffer og smøremidler
492,Brasilien,2019,48022,Mineralbrændstoffer og smøremidler
493,Brasilien,2020,30326,Mineralbrændstoffer og smøremidler
494,Brasilien,2021,37604,Mineralbrændstoffer og smøremidler
506,Britisk Oceanien,2018,0,Mineralbrændstoffer og smøremidler
507,Britisk Oceanien,2019,0,Mineralbrændstoffer og smøremidler
508,Britisk Oceanien,2020,0,Mineralbrændstoffer og smøremidler
509,Britisk Oceanien,2021,0,Mineralbrændstoffer og smøremidler
521,Britiske Jomfruøer,2018,0,Mineralbrændstoffer og smøremidler
522,Britiske Jomfruøer,2019,0,Mineralbrændstoffer og smøremidler
523,Britiske Jomfruøer,2020,0,Mineralbrændstoffer og smøremidler
524,Britiske Jomfruøer,2021,29,Mineralbrændstoffer og smøremidler
536,Britiske territorium i det Indiske Ocean,2018,0,Mineralbrændstoffer og smøremidler
537,Britiske territorium i det Indiske Ocean,2019,0,Mineralbrændstoffer og smøremidler
538,Britiske territorium i det Indiske Ocean,2020,0,Mineralbrændstoffer og smøremidler
539,Britiske territorium i det Indiske Ocean,2021,0,Mineralbrændstoffer og smøremidler
551,Brunei,2018,407,Mineralbrændstoffer og smøremidler
552,Brunei,2019,1684,Mineralbrændstoffer og smøremidler
553,Brunei,2020,9282,Mineralbrændstoffer og smøremidler
554,Brunei,2021,378,Mineralbrændstoffer og smøremidler
566,Bulgarien,2018,13310,Mineralbrændstoffer og smøremidler
567,Bulgarien,2019,51754,Mineralbrændstoffer og smøremidler
568,Bulgarien,2020,7180,Mineralbrændstoffer og smøremidler
569,Bulgarien,2021,21780,Mineralbrændstoffer og smøremidler
581,Burkina Faso,2018,177,Mineralbrændstoffer og smøremidler
582,Burkina Faso,2019,102,Mineralbrændstoffer og smøremidler
583,Burkina Faso,2020,2196,Mineralbrændstoffer og smøremidler
584,Burkina Faso,2021,317,Mineralbrændstoffer og smøremidler
596,Burundi,2018,40,Mineralbrændstoffer og smøremidler
597,Burundi,2019,13,Mineralbrændstoffer og smøremidler
598,Burundi,2020,10,Mineralbrændstoffer og smøremidler
599,Burundi,2021,0,Mineralbrændstoffer og smøremidler
611,Cambodja,2018,14,Mineralbrændstoffer og smøremidler
612,Cambodja,2019,127,Mineralbrændstoffer og smøremidler
613,Cambodja,2020,40,Mineralbrændstoffer og smøremidler
614,Cambodja,2021,48,Mineralbrændstoffer og smøremidler
626,Cameroun,2018,200,Mineralbrændstoffer og smøremidler
627,Cameroun,2019,222,Mineralbrændstoffer og smøremidler
628,Cameroun,2020,393,Mineralbrændstoffer og smøremidler
629,Cameroun,2021,987,Mineralbrændstoffer og smøremidler
641,Canada,2018,280669,Mineralbrændstoffer og smøremidler
642,Canada,2019,216085,Mineralbrændstoffer og smøremidler
643,Canada,2020,118538,Mineralbrændstoffer og smøremidler
644,Canada,2021,286964,Mineralbrændstoffer og smøremidler
656,Caymanøerne,2018,0,Mineralbrændstoffer og smøremidler
657,Caymanøerne,2019,185,Mineralbrændstoffer og smøremidler
658,Caymanøerne,2020,605,Mineralbrændstoffer og smøremidler
659,Caymanøerne,2021,862,Mineralbrændstoffer og smøremidler
671,Centralafrikanske Republik,2018,0,Mineralbrændstoffer og smøremidler
672,Centralafrikanske Republik,2019,10,Mineralbrændstoffer og smøremidler
673,Centralafrikanske Republik,2020,0,Mineralbrændstoffer og smøremidler
674,Centralafrikanske Republik,2021,1,Mineralbrændstoffer og smøremidler
686,Ceuta,2018,0,Mineralbrændstoffer og smøremidler
687,Ceuta,2019,0,Mineralbrændstoffer og smøremidler
688,Ceuta,2020,0,Mineralbrændstoffer og smøremidler
689,Ceuta,2021,34,Mineralbrændstoffer og smøremidler
701,Chile,2018,32372,Mineralbrændstoffer og smøremidler
702,Chile,2019,10051,Mineralbrændstoffer og smøremidler
