,LAND,TID,INDHOLD,SITC
11,Afghanistan,2018,0,Kemikalier og relaterede produkter
12,Afghanistan,2019,0,Kemikalier og relaterede produkter
13,Afghanistan,2020,18,Kemikalier og relaterede produkter
14,Afghanistan,2021,0,Kemikalier og relaterede produkter
26,Albanien,2018,0,Kemikalier og relaterede produkter
27,Albanien,2019,1,Kemikalier og relaterede produkter
28,Albanien,2020,2,Kemikalier og relaterede produkter
29,Albanien,2021,0,Kemikalier og relaterede produkter
41,Algeriet,2018,393,Kemikalier og relaterede produkter
42,Algeriet,2019,58,Kemikalier og relaterede produkter
43,Algeriet,2020,4,Kemikalier og relaterede produkter
44,Algeriet,2021,1,Kemikalier og relaterede produkter
56,Amerikansk Oceanien,2018,0,Kemikalier og relaterede produkter
57,Amerikansk Oceanien,2019,0,Kemikalier og relaterede produkter
58,Amerikansk Oceanien,2020,0,Kemikalier og relaterede produkter
59,Amerikansk Oceanien,2021,0,Kemikalier og relaterede produkter
71,Amerikansk Samoa,2018,0,Kemikalier og relaterede produkter
72,Amerikansk Samoa,2019,0,Kemikalier og relaterede produkter
73,Amerikansk Samoa,2020,4,Kemikalier og relaterede produkter
74,Amerikansk Samoa,2021,1,Kemikalier og relaterede produkter
86,Amerikanske Jomfruøer,2018,0,Kemikalier og relaterede produkter
87,Amerikanske Jomfruøer,2019,166,Kemikalier og relaterede produkter
88,Amerikanske Jomfruøer,2020,0,Kemikalier og relaterede produkter
89,Amerikanske Jomfruøer,2021,0,Kemikalier og relaterede produkter
101,Andorra,2018,0,Kemikalier og relaterede produkter
102,Andorra,2019,0,Kemikalier og relaterede produkter
103,Andorra,2020,0,Kemikalier og relaterede produkter
104,Andorra,2021,0,Kemikalier og relaterede produkter
116,Angola,2018,0,Kemikalier og relaterede produkter
117,Angola,2019,0,Kemikalier og relaterede produkter
118,Angola,2020,2,Kemikalier og relaterede produkter
119,Angola,2021,0,Kemikalier og relaterede produkter
131,Anguilla,2018,0,Kemikalier og relaterede produkter
132,Anguilla,2019,0,Kemikalier og relaterede produkter
133,Anguilla,2020,0,Kemikalier og relaterede produkter
134,Anguilla,2021,0,Kemikalier og relaterede produkter
146,Antarktis,2018,0,Kemikalier og relaterede produkter
