ID,LAND,TID,INDHOLD,SITC
11,Afghanistan,2018,0,Mineralbrændstoffer og smøremidler
12,Afghanistan,2019,0,Mineralbrændstoffer og smøremidler
13,Afghanistan,2020,0,Mineralbrændstoffer og smøremidler
14,Afghanistan,2021,14,Mineralbrændstoffer og smøremidler
26,Albanien,2018,1557,Mineralbrændstoffer og smøremidler
27,Albanien,2019,2004,Mineralbrændstoffer og smøremidler
28,Albanien,2020,2529,Mineralbrændstoffer og smøremidler
29,Albanien,2021,1402,Mineralbrændstoffer og smøremidler
41,Algeriet,2018,0,Mineralbrændstoffer og smøremidler
42,Algeriet,2019,9,Mineralbrændstoffer og smøremidler
43,Algeriet,2020,2,Mineralbrændstoffer og smøremidler
44,Algeriet,2021,0,Mineralbrændstoffer og smøremidler
56,Amerikansk Oceanien,2018,0,Mineralbrændstoffer og smøremidler
57,Amerikansk Oceanien,2019,0,Mineralbrændstoffer og smøremidler
58,Amerikansk Oceanien,2020,0,Mineralbrændstoffer og smøremidler
59,Amerikansk Oceanien,2021,0,Mineralbrændstoffer og smøremidler
71,Amerikansk Samoa,2018,0,Mineralbrændstoffer og smøremidler
72,Amerikansk Samoa,2019,0,Mineralbrændstoffer og smøremidler
73,Amerikansk Samoa,2020,0,Mineralbrændstoffer og smøremidler
74,Amerikansk Samoa,2021,0,Mineralbrændstoffer og smøremidler
86,Amerikanske Jomfruøer,2018,0,Mineralbrændstoffer og smøremidler
87,Amerikanske Jomfruøer,2019,0,Mineralbrændstoffer og smøremidler
88,Amerikanske Jomfruøer,2020,0,Mineralbrændstoffer og smøremidler
89,Amerikanske Jomfruøer,2021,0,Mineralbrændstoffer og smøremidler
101,Andorra,2018,0,Mineralbrændstoffer og smøremidler
102,Andorra,2019,0,Mineralbrændstoffer og smøremidler
103,Andorra,2020,0,Mineralbrændstoffer og smøremidler
104,Andorra,2021,0,Mineralbrændstoffer og smøremidler
116,Angola,2018,1,Mineralbrændstoffer og smøremidler
117,Angola,2019,0,Mineralbrændstoffer og smøremidler
118,Angola,2020,0,Mineralbrændstoffer og smøremidler
119,Angola,2021,137,Mineralbrændstoffer og smøremidler
131,Anguilla,2018,0,Mineralbrændstoffer og smøremidler
132,Anguilla,2019,0,Mineralbrændstoffer og smøremidler
133,Anguilla,2020,0,Mineralbrændstoffer og smøremidler
134,Anguilla,2021,0,Mineralbrændstoffer og smøremidler
146,Antarktis,2018,0,Mineralbrændstoffer og smøremidler
147,Antarktis,2019,0,Mineralbrændstoffer og smøremidler
148,Antarktis,2020,0,Mineralbrændstoffer og smøremidler
149,Antarktis,2021,0,Mineralbrændstoffer og smøremidler
161,Antigua og Barbuda,2018,7,Mineralbrændstoffer og smøremidler
162,Antigua og Barbuda,2019,0,Mineralbrændstoffer og smøremidler
163,Antigua og Barbuda,2020,0,Mineralbrændstoffer og smøremidler
164,Antigua og Barbuda,2021,0,Mineralbrændstoffer og smøremidler
176,Argentina,2018,43,Mineralbrændstoffer og smøremidler
177,Argentina,2019,1,Mineralbrændstoffer og smøremidler
178,Argentina,2020,51,Mineralbrændstoffer og smøremidler
179,Argentina,2021,533,Mineralbrændstoffer og smøremidler
191,Armenien,2018,0,Mineralbrændstoffer og smøremidler
192,Armenien,2019,0,Mineralbrændstoffer og smøremidler
193,Armenien,2020,0,Mineralbrændstoffer og smøremidler
194,Armenien,2021,1,Mineralbrændstoffer og smøremidler
206,Aruba,2018,0,Mineralbrændstoffer og smøremidler
207,Aruba,2019,0,Mineralbrændstoffer og smøremidler
208,Aruba,2020,0,Mineralbrændstoffer og smøremidler
209,Aruba,2021,0,Mineralbrændstoffer og smøremidler
221,Aserbajdsjan,2018,1,Mineralbrændstoffer og smøremidler
222,Aserbajdsjan,2019,0,Mineralbrændstoffer og smøremidler
223,Aserbajdsjan,2020,108358,Mineralbrændstoffer og smøremidler
224,Aserbajdsjan,2021,0,Mineralbrændstoffer og smøremidler
236,Australien,2018,54868,Mineralbrændstoffer og smøremidler
237,Australien,2019,46072,Mineralbrændstoffer og smøremidler
238,Australien,2020,25891,Mineralbrændstoffer og smøremidler
239,Australien,2021,35206,Mineralbrændstoffer og smøremidler
251,Australsk Oceanien,2018,0,Mineralbrændstoffer og smøremidler
252,Australsk Oceanien,2019,0,Mineralbrændstoffer og smøremidler
253,Australsk Oceanien,2020,0,Mineralbrændstoffer og smøremidler
254,Australsk Oceanien,2021,0,Mineralbrændstoffer og smøremidler
266,Bahamas,2018,0,Mineralbrændstoffer og smøremidler
267,Bahamas,2019,0,Mineralbrændstoffer og smøremidler
268,Bahamas,2020,0,Mineralbrændstoffer og smøremidler
269,Bahamas,2021,0,Mineralbrændstoffer og smøremidler
281,Bahrain,2018,21,Mineralbrændstoffer og smøremidler
282,Bahrain,2019,86,Mineralbrændstoffer og smøremidler
283,Bahrain,2020,2,Mineralbrændstoffer og smøremidler
284,Bahrain,2021,19,Mineralbrændstoffer og smøremidler
296,Bangladesh,2018,4,Mineralbrændstoffer og smøremidler
297,Bangladesh,2019,5,Mineralbrændstoffer og smøremidler
298,Bangladesh,2020,2,Mineralbrændstoffer og smøremidler
299,Bangladesh,2021,19,Mineralbrændstoffer og smøremidler
311,Barbados,2018,0,Mineralbrændstoffer og smøremidler
312,Barbados,2019,0,Mineralbrændstoffer og smøremidler
313,Barbados,2020,0,Mineralbrændstoffer og smøremidler
314,Barbados,2021,0,Mineralbrændstoffer og smøremidler
326,Belarus,2018,74666,Mineralbrændstoffer og smøremidler
327,Belarus,2019,22266,Mineralbrændstoffer og smøremidler
328,Belarus,2020,12,Mineralbrændstoffer og smøremidler
329,Belarus,2021,6659,Mineralbrændstoffer og smøremidler
341,Belgien,2018,1067124,Mineralbrændstoffer og smøremidler
342,Belgien,2019,998235,Mineralbrændstoffer og smøremidler
343,Belgien,2020,1261244,Mineralbrændstoffer og smøremidler
344,Belgien,2021,1575176,Mineralbrændstoffer og smøremidler
356,Belize,2018,0,Mineralbrændstoffer og smøremidler
357,Belize,2019,0,Mineralbrændstoffer og smøremidler
358,Belize,2020,0,Mineralbrændstoffer og smøremidler
359,Belize,2021,0,Mineralbrændstoffer og smøremidler
371,Benin,2018,0,Mineralbrændstoffer og smøremidler
372,Benin,2019,0,Mineralbrændstoffer og smøremidler
373,Benin,2020,0,Mineralbrændstoffer og smøremidler
374,Benin,2021,0,Mineralbrændstoffer og smøremidler
386,Bermuda,2018,0,Mineralbrændstoffer og smøremidler
387,Bermuda,2019,0,Mineralbrændstoffer og smøremidler
388,Bermuda,2020,0,Mineralbrændstoffer og smøremidler
389,Bermuda,2021,0,Mineralbrændstoffer og smøremidler
401,Bhutan,2018,0,Mineralbrændstoffer og smøremidler
402,Bhutan,2019,0,Mineralbrændstoffer og smøremidler
403,Bhutan,2020,0,Mineralbrændstoffer og smøremidler
404,Bhutan,2021,0,Mineralbrændstoffer og smøremidler
416,Bolivia,2018,0,Mineralbrændstoffer og smøremidler
417,Bolivia,2019,0,Mineralbrændstoffer og smøremidler
418,Bolivia,2020,0,Mineralbrændstoffer og smøremidler
419,Bolivia,2021,7,Mineralbrændstoffer og smøremidler
431,"Bonaire, Sint Eustatius og Saba",2018,0,Mineralbrændstoffer og smøremidler
432,"Bonaire, Sint Eustatius og Saba",2019,0,Mineralbrændstoffer og smøremidler
433,"Bonaire, Sint Eustatius og Saba",2020,0,Mineralbrændstoffer og smøremidler
434,"Bonaire, Sint Eustatius og Saba",2021,0,Mineralbrændstoffer og smøremidler
446,Bosnien-Hercegovina,2018,1425,Mineralbrændstoffer og smøremidler
447,Bosnien-Hercegovina,2019,137,Mineralbrændstoffer og smøremidler
448,Bosnien-Hercegovina,2020,234,Mineralbrændstoffer og smøremidler
449,Bosnien-Hercegovina,2021,10,Mineralbrændstoffer og smøremidler
461,Botswana,2018,0,Mineralbrændstoffer og smøremidler
462,Botswana,2019,0,Mineralbrændstoffer og smøremidler
463,Botswana,2020,0,Mineralbrændstoffer og smøremidler
464,Botswana,2021,0,Mineralbrændstoffer og smøremidler
476,Bouvetøen,2018,0,Mineralbrændstoffer og smøremidler
477,Bouvetøen,2019,0,Mineralbrændstoffer og smøremidler
478,Bouvetøen,2020,0,Mineralbrændstoffer og smøremidler
479,Bouvetøen,2021,0,Mineralbrændstoffer og smøremidler
491,Brasilien,2018,15340,Mineralbrændstoffer og smøremidler
492,Brasilien,2019,10871,Mineralbrændstoffer og smøremidler
493,Brasilien,2020,6023,Mineralbrændstoffer og smøremidler
494,Brasilien,2021,5033,Mineralbrændstoffer og smøremidler
506,Britisk Oceanien,2018,0,Mineralbrændstoffer og smøremidler
507,Britisk Oceanien,2019,0,Mineralbrændstoffer og smøremidler
508,Britisk Oceanien,2020,0,Mineralbrændstoffer og smøremidler
509,Britisk Oceanien,2021,0,Mineralbrændstoffer og smøremidler
521,Britiske Jomfruøer,2018,0,Mineralbrændstoffer og smøremidler
522,Britiske Jomfruøer,2019,0,Mineralbrændstoffer og smøremidler
523,Britiske Jomfruøer,2020,0,Mineralbrændstoffer og smøremidler
524,Britiske Jomfruøer,2021,0,Mineralbrændstoffer og smøremidler
536,Britiske territorium i det Indiske Ocean,2018,0,Mineralbrændstoffer og smøremidler
537,Britiske territorium i det Indiske Ocean,2019,0,Mineralbrændstoffer og smøremidler
538,Britiske territorium i det Indiske Ocean,2020,0,Mineralbrændstoffer og smøremidler
539,Britiske territorium i det Indiske Ocean,2021,0,Mineralbrændstoffer og smøremidler
551,Brunei,2018,0,Mineralbrændstoffer og smøremidler
552,Brunei,2019,0,Mineralbrændstoffer og smøremidler
553,Brunei,2020,0,Mineralbrændstoffer og smøremidler
554,Brunei,2021,0,Mineralbrændstoffer og smøremidler
566,Bulgarien,2018,69835,Mineralbrændstoffer og smøremidler
567,Bulgarien,2019,45488,Mineralbrændstoffer og smøremidler
568,Bulgarien,2020,37091,Mineralbrændstoffer og smøremidler
569,Bulgarien,2021,34493,Mineralbrændstoffer og smøremidler
581,Burkina Faso,2018,24,Mineralbrændstoffer og smøremidler
582,Burkina Faso,2019,0,Mineralbrændstoffer og smøremidler
583,Burkina Faso,2020,1,Mineralbrændstoffer og smøremidler
584,Burkina Faso,2021,0,Mineralbrændstoffer og smøremidler
596,Burundi,2018,0,Mineralbrændstoffer og smøremidler
597,Burundi,2019,0,Mineralbrændstoffer og smøremidler
598,Burundi,2020,0,Mineralbrændstoffer og smøremidler
599,Burundi,2021,0,Mineralbrændstoffer og smøremidler
611,Cambodja,2018,0,Mineralbrændstoffer og smøremidler
612,Cambodja,2019,0,Mineralbrændstoffer og smøremidler
613,Cambodja,2020,0,Mineralbrændstoffer og smøremidler
614,Cambodja,2021,0,Mineralbrændstoffer og smøremidler
626,Cameroun,2018,0,Mineralbrændstoffer og smøremidler
627,Cameroun,2019,0,Mineralbrændstoffer og smøremidler
628,Cameroun,2020,0,Mineralbrændstoffer og smøremidler
629,Cameroun,2021,0,Mineralbrændstoffer og smøremidler
641,Canada,2018,168409,Mineralbrændstoffer og smøremidler
642,Canada,2019,14423,Mineralbrændstoffer og smøremidler
