ï»¿SITC,LAND,INDUD,TID,INDHOLD,Kategori
51 Organiske kemikalier,Afghanistan,Import,2018,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Afghanistan,Import,2019,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Afghanistan,Import,2020,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Afghanistan,Import,2021,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Albanien,Import,2018,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Albanien,Import,2019,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Albanien,Import,2020,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Albanien,Import,2021,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Algeriet,Import,2018,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Algeriet,Import,2019,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Algeriet,Import,2020,4,Kemikalier og relaterede produkter
51 Organiske kemikalier,Algeriet,Import,2021,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Amerikansk Oceanien,Import,2018,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Amerikansk Oceanien,Import,2019,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Amerikansk Oceanien,Import,2020,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Amerikansk Oceanien,Import,2021,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Amerikansk Samoa,Import,2018,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Amerikansk Samoa,Import,2019,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Amerikansk Samoa,Import,2020,4,Kemikalier og relaterede produkter
51 Organiske kemikalier,Amerikansk Samoa,Import,2021,1,Kemikalier og relaterede produkter
51 Organiske kemikalier,Amerikanske JomfruÃ¸er,Import,2018,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Amerikanske JomfruÃ¸er,Import,2019,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Amerikanske JomfruÃ¸er,Import,2020,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Amerikanske JomfruÃ¸er,Import,2021,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Andorra,Import,2018,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Andorra,Import,2019,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Andorra,Import,2020,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Andorra,Import,2021,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Angola,Import,2018,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Angola,Import,2019,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Angola,Import,2020,2,Kemikalier og relaterede produkter
51 Organiske kemikalier,Angola,Import,2021,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Anguilla,Import,2018,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Anguilla,Import,2019,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Anguilla,Import,2020,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Anguilla,Import,2021,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Antarktis,Import,2018,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Antarktis,Import,2019,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Antarktis,Import,2020,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Antarktis,Import,2021,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Antigua og Barbuda,Import,2018,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Antigua og Barbuda,Import,2019,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Antigua og Barbuda,Import,2020,2,Kemikalier og relaterede produkter
51 Organiske kemikalier,Antigua og Barbuda,Import,2021,1,Kemikalier og relaterede produkter
51 Organiske kemikalier,Argentina,Import,2018,22067,Kemikalier og relaterede produkter
51 Organiske kemikalier,Argentina,Import,2019,33063,Kemikalier og relaterede produkter
51 Organiske kemikalier,Argentina,Import,2020,44853,Kemikalier og relaterede produkter
51 Organiske kemikalier,Argentina,Import,2021,57431,Kemikalier og relaterede produkter
51 Organiske kemikalier,Armenien,Import,2018,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Armenien,Import,2019,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Armenien,Import,2020,0,Kemikalier og relaterede produkter
