ID,LAND,TID,SITC,INDHOLD
11,Afghanistan,2018,Maskiner og transportmidler,196
12,Afghanistan,2019,Maskiner og transportmidler,60
13,Afghanistan,2020,Maskiner og transportmidler,18
14,Afghanistan,2021,Maskiner og transportmidler,408
26,Albanien,2018,Maskiner og transportmidler,17
27,Albanien,2019,Maskiner og transportmidler,89
28,Albanien,2020,Maskiner og transportmidler,150
29,Albanien,2021,Maskiner og transportmidler,2869
41,Algeriet,2018,Maskiner og transportmidler,0
42,Algeriet,2019,Maskiner og transportmidler,1
43,Algeriet,2020,Maskiner og transportmidler,659
44,Algeriet,2021,Maskiner og transportmidler,888
56,Amerikansk Oceanien,2018,Maskiner og transportmidler,0
57,Amerikansk Oceanien,2019,Maskiner og transportmidler,0
58,Amerikansk Oceanien,2020,Maskiner og transportmidler,0
59,Amerikansk Oceanien,2021,Maskiner og transportmidler,0
71,Amerikansk Samoa,2018,Maskiner og transportmidler,63
72,Amerikansk Samoa,2019,Maskiner og transportmidler,68
73,Amerikansk Samoa,2020,Maskiner og transportmidler,17
74,Amerikansk Samoa,2021,Maskiner og transportmidler,1
86,Amerikanske Jomfruøer,2018,Maskiner og transportmidler,12
87,Amerikanske Jomfruøer,2019,Maskiner og transportmidler,2
88,Amerikanske Jomfruøer,2020,Maskiner og transportmidler,26
89,Amerikanske Jomfruøer,2021,Maskiner og transportmidler,11
101,Andorra,2018,Maskiner og transportmidler,0
102,Andorra,2019,Maskiner og transportmidler,56
103,Andorra,2020,Maskiner og transportmidler,2
104,Andorra,2021,Maskiner og transportmidler,6
116,Angola,2018,Maskiner og transportmidler,1661
117,Angola,2019,Maskiner og transportmidler,1777
118,Angola,2020,Maskiner og transportmidler,392
119,Angola,2021,Maskiner og transportmidler,559
131,Anguilla,2018,Maskiner og transportmidler,1
132,Anguilla,2019,Maskiner og transportmidler,0
133,Anguilla,2020,Maskiner og transportmidler,0
134,Anguilla,2021,Maskiner og transportmidler,0
146,Antarktis,2018,Maskiner og transportmidler,0
147,Antarktis,2019,Maskiner og transportmidler,0
148,Antarktis,2020,Maskiner og transportmidler,0
149,Antarktis,2021,Maskiner og transportmidler,0
161,Antigua og Barbuda,2018,Maskiner og transportmidler,169
