ï»¿SITC,LAND,INDUD,TID,INDHOLD,Kategori
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Afghanistan,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Afghanistan,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Afghanistan,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Afghanistan,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Albanien,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Albanien,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Albanien,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Albanien,Eksport,2021,26,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Algeriet,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Algeriet,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Algeriet,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Algeriet,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Amerikansk Oceanien,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Amerikansk Oceanien,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Amerikansk Oceanien,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Amerikansk Oceanien,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Amerikansk Samoa,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Amerikansk Samoa,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Amerikansk Samoa,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Amerikansk Samoa,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Amerikanske JomfruÃ¸er,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Amerikanske JomfruÃ¸er,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Amerikanske JomfruÃ¸er,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Amerikanske JomfruÃ¸er,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Andorra,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Andorra,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Andorra,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Andorra,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Angola,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Angola,Eksport,2019,3,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Angola,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Angola,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Anguilla,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Anguilla,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Anguilla,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Anguilla,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Antarktis,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Antarktis,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Antarktis,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Antarktis,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Antigua og Barbuda,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Antigua og Barbuda,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Antigua og Barbuda,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Antigua og Barbuda,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Argentina,Eksport,2018,304,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Argentina,Eksport,2019,194,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Argentina,Eksport,2020,8,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Argentina,Eksport,2021,623,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Armenien,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Armenien,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Armenien,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Armenien,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Aruba,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Aruba,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Aruba,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Aruba,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Aserbajdsjan,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Aserbajdsjan,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Aserbajdsjan,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Aserbajdsjan,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Australien,Eksport,2018,1074,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Australien,Eksport,2019,1379,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Australien,Eksport,2020,920,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Australien,Eksport,2021,3548,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Australsk Oceanien,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Australsk Oceanien,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Australsk Oceanien,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Australsk Oceanien,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Bahamas,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Bahamas,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Bahamas,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Bahamas,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Bahrain,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Bahrain,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Bahrain,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Bahrain,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Bangladesh,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Bangladesh,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Bangladesh,Eksport,2020,41,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Bangladesh,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Barbados,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Barbados,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Barbados,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Barbados,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Belgien,Eksport,2018,219,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Belgien,Eksport,2019,135,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Belgien,Eksport,2020,244,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Belgien,Eksport,2021,1004,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Belize,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Belize,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Belize,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Belize,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Benin,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Benin,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Benin,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Benin,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Bermuda,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Bermuda,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Bermuda,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Bermuda,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Bhutan,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Bhutan,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Bhutan,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Bhutan,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Bolivia,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Bolivia,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Bolivia,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Bolivia,Eksport,2021,2,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret","Bonaire, Sint Eustatius og Saba",Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret","Bonaire, Sint Eustatius og Saba",Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret","Bonaire, Sint Eustatius og Saba",Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret","Bonaire, Sint Eustatius og Saba",Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Bosnien-Hercegovina,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Bosnien-Hercegovina,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Bosnien-Hercegovina,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Bosnien-Hercegovina,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Botswana,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Botswana,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Botswana,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Botswana,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",BouvetÃ¸en,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",BouvetÃ¸en,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",BouvetÃ¸en,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",BouvetÃ¸en,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Brasilien,Eksport,2018,106,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Brasilien,Eksport,2019,1597,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Brasilien,Eksport,2020,1340,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Brasilien,Eksport,2021,697,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Britisk Oceanien,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Britisk Oceanien,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Britisk Oceanien,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Britisk Oceanien,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Britiske JomfruÃ¸er,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Britiske JomfruÃ¸er,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Britiske JomfruÃ¸er,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Britiske JomfruÃ¸er,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Britiske territorium i det Indiske Ocean,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Britiske territorium i det Indiske Ocean,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Britiske territorium i det Indiske Ocean,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Britiske territorium i det Indiske Ocean,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Brunei,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Brunei,Eksport,2019,74,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Brunei,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Brunei,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Bulgarien,Eksport,2018,6,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Bulgarien,Eksport,2019,9,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Bulgarien,Eksport,2020,8,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Bulgarien,Eksport,2021,8,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Burkina Faso,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Burkina Faso,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Burkina Faso,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Burkina Faso,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Burundi,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Burundi,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Burundi,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Burundi,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Cambodja,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Cambodja,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Cambodja,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Cambodja,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Cameroun,Eksport,2018,2,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Cameroun,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Cameroun,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Cameroun,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Canada,Eksport,2018,110,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Canada,Eksport,2019,1,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Canada,Eksport,2020,330,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Canada,Eksport,2021,54667,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",CaymanÃ¸erne,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",CaymanÃ¸erne,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",CaymanÃ¸erne,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",CaymanÃ¸erne,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Centralafrikanske Republik,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Centralafrikanske Republik,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Centralafrikanske Republik,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Centralafrikanske Republik,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Ceuta,Eksport,2018,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Ceuta,Eksport,2019,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Ceuta,Eksport,2020,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Ceuta,Eksport,2021,0,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Chile,Eksport,2018,1490,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Chile,Eksport,2019,1424,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Chile,Eksport,2020,426,Mineralbrændstoffer og smøremidler
"23 Gummi, rÃ¥, heru. Syntetisk og regenereret",Chile,Eksport,2021,104,Mineralbrændstoffer og smøremidler
