ï»¿SITC,LAND,INDUD,TID,INDHOLD,Kategori
51 Organiske kemikalier,Afghanistan,Eksport,2018,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Afghanistan,Eksport,2019,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Afghanistan,Eksport,2020,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Afghanistan,Eksport,2021,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Albanien,Eksport,2018,33,Kemikalier og relaterede produkter
51 Organiske kemikalier,Albanien,Eksport,2019,2,Kemikalier og relaterede produkter
51 Organiske kemikalier,Albanien,Eksport,2020,6,Kemikalier og relaterede produkter
51 Organiske kemikalier,Albanien,Eksport,2021,14,Kemikalier og relaterede produkter
51 Organiske kemikalier,Algeriet,Eksport,2018,38588,Kemikalier og relaterede produkter
51 Organiske kemikalier,Algeriet,Eksport,2019,37793,Kemikalier og relaterede produkter
51 Organiske kemikalier,Algeriet,Eksport,2020,31458,Kemikalier og relaterede produkter
51 Organiske kemikalier,Algeriet,Eksport,2021,25257,Kemikalier og relaterede produkter
51 Organiske kemikalier,Amerikansk Oceanien,Eksport,2018,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Amerikansk Oceanien,Eksport,2019,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Amerikansk Oceanien,Eksport,2020,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Amerikansk Oceanien,Eksport,2021,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Amerikansk Samoa,Eksport,2018,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Amerikansk Samoa,Eksport,2019,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Amerikansk Samoa,Eksport,2020,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Amerikansk Samoa,Eksport,2021,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Amerikanske JomfruÃ¸er,Eksport,2018,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Amerikanske JomfruÃ¸er,Eksport,2019,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Amerikanske JomfruÃ¸er,Eksport,2020,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Amerikanske JomfruÃ¸er,Eksport,2021,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Andorra,Eksport,2018,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Andorra,Eksport,2019,6,Kemikalier og relaterede produkter
51 Organiske kemikalier,Andorra,Eksport,2020,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Andorra,Eksport,2021,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Angola,Eksport,2018,4693,Kemikalier og relaterede produkter
51 Organiske kemikalier,Angola,Eksport,2019,1151,Kemikalier og relaterede produkter
51 Organiske kemikalier,Angola,Eksport,2020,3172,Kemikalier og relaterede produkter
51 Organiske kemikalier,Angola,Eksport,2021,850,Kemikalier og relaterede produkter
51 Organiske kemikalier,Anguilla,Eksport,2018,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Anguilla,Eksport,2019,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Anguilla,Eksport,2020,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Anguilla,Eksport,2021,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Antarktis,Eksport,2018,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Antarktis,Eksport,2019,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Antarktis,Eksport,2020,1,Kemikalier og relaterede produkter
51 Organiske kemikalier,Antarktis,Eksport,2021,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Antigua og Barbuda,Eksport,2018,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Antigua og Barbuda,Eksport,2019,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Antigua og Barbuda,Eksport,2020,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Antigua og Barbuda,Eksport,2021,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Argentina,Eksport,2018,71711,Kemikalier og relaterede produkter
51 Organiske kemikalier,Argentina,Eksport,2019,54043,Kemikalier og relaterede produkter
51 Organiske kemikalier,Argentina,Eksport,2020,47698,Kemikalier og relaterede produkter
51 Organiske kemikalier,Argentina,Eksport,2021,49683,Kemikalier og relaterede produkter
51 Organiske kemikalier,Armenien,Eksport,2018,2456,Kemikalier og relaterede produkter
51 Organiske kemikalier,Armenien,Eksport,2019,2894,Kemikalier og relaterede produkter
51 Organiske kemikalier,Armenien,Eksport,2020,2327,Kemikalier og relaterede produkter
51 Organiske kemikalier,Armenien,Eksport,2021,2113,Kemikalier og relaterede produkter
51 Organiske kemikalier,Aruba,Eksport,2018,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Aruba,Eksport,2019,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Aruba,Eksport,2020,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Aruba,Eksport,2021,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Aserbajdsjan,Eksport,2018,1384,Kemikalier og relaterede produkter
51 Organiske kemikalier,Aserbajdsjan,Eksport,2019,1237,Kemikalier og relaterede produkter
51 Organiske kemikalier,Aserbajdsjan,Eksport,2020,1439,Kemikalier og relaterede produkter
51 Organiske kemikalier,Aserbajdsjan,Eksport,2021,680,Kemikalier og relaterede produkter
51 Organiske kemikalier,Australien,Eksport,2018,116492,Kemikalier og relaterede produkter
51 Organiske kemikalier,Australien,Eksport,2019,128009,Kemikalier og relaterede produkter
51 Organiske kemikalier,Australien,Eksport,2020,112921,Kemikalier og relaterede produkter
51 Organiske kemikalier,Australien,Eksport,2021,113170,Kemikalier og relaterede produkter
51 Organiske kemikalier,Australsk Oceanien,Eksport,2018,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Australsk Oceanien,Eksport,2019,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Australsk Oceanien,Eksport,2020,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Australsk Oceanien,Eksport,2021,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Bahamas,Eksport,2018,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Bahamas,Eksport,2019,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Bahamas,Eksport,2020,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Bahamas,Eksport,2021,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Bahrain,Eksport,2018,2,Kemikalier og relaterede produkter
51 Organiske kemikalier,Bahrain,Eksport,2019,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Bahrain,Eksport,2020,0,Kemikalier og relaterede produkter
51 Organiske kemikalier,Bahrain,Eksport,2021,112,Kemikalier og relaterede produkter
51 Organiske kemikalier,Bangladesh,Eksport,2018,5576,Kemikalier og relaterede produkter
51 Organiske kemikalier,Bangladesh,Eksport,2019,5787,Kemikalier og relaterede produkter
51 Organiske kemikalier,Bangladesh,Eksport,2020,7948,Kemikalier og relaterede produkter
51 Organiske kemikalier,Bangladesh,Eksport,2021,9826,Kemikalier og relaterede produkter
51 Organiske kemikalier,Barbados,Eksport,2018,160,Kemikalier og relaterede produkter
51 Organiske kemikalier,Barbados,Eksport,2019,279,Kemikalier og relaterede produkter
51 Organiske kemikalier,Barbados,Eksport,2020,214,Kemikalier og relaterede produkter
51 Organiske kemikalier,Barbados,Eksport,2021,85,Kemikalier og relaterede produkter
51 Organiske kemikalier,Belgien,Eksport,2018,424708,Kemikalier og relaterede produkter
51 Organiske kemikalier,Belgien,Eksport,2019,692370,Kemikalier og relaterede produkter
