,LAND,TID,INDHOLD,SITC
11,Afghanistan,2018,59,"levende dyr, fødevarer, drikkevarer og tobak"
12,Afghanistan,2019,115625,"levende dyr, fødevarer, drikkevarer og tobak"
13,Afghanistan,2020,120,"levende dyr, fødevarer, drikkevarer og tobak"
14,Afghanistan,2021,434,"levende dyr, fødevarer, drikkevarer og tobak"
26,Albanien,2018,3997,"levende dyr, fødevarer, drikkevarer og tobak"
27,Albanien,2019,3454,"levende dyr, fødevarer, drikkevarer og tobak"
28,Albanien,2020,2228,"levende dyr, fødevarer, drikkevarer og tobak"
29,Albanien,2021,3159,"levende dyr, fødevarer, drikkevarer og tobak"
41,Algeriet,2018,802,"levende dyr, fødevarer, drikkevarer og tobak"
42,Algeriet,2019,519,"levende dyr, fødevarer, drikkevarer og tobak"
43,Algeriet,2020,1625,"levende dyr, fødevarer, drikkevarer og tobak"
44,Algeriet,2021,969,"levende dyr, fødevarer, drikkevarer og tobak"
56,Amerikansk Oceanien,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
57,Amerikansk Oceanien,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
58,Amerikansk Oceanien,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
59,Amerikansk Oceanien,2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
71,Amerikansk Samoa,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
72,Amerikansk Samoa,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
73,Amerikansk Samoa,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
74,Amerikansk Samoa,2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
86,Amerikanske Jomfruøer,2018,19,"levende dyr, fødevarer, drikkevarer og tobak"
87,Amerikanske Jomfruøer,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
88,Amerikanske Jomfruøer,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
89,Amerikanske Jomfruøer,2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
101,Andorra,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
102,Andorra,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
103,Andorra,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
104,Andorra,2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
116,Angola,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
117,Angola,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
118,Angola,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
119,Angola,2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
131,Anguilla,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
132,Anguilla,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
133,Anguilla,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
134,Anguilla,2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
146,Antarktis,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
147,Antarktis,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
148,Antarktis,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
149,Antarktis,2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
161,Antigua og Barbuda,2018,5838,"levende dyr, fødevarer, drikkevarer og tobak"
162,Antigua og Barbuda,2019,900,"levende dyr, fødevarer, drikkevarer og tobak"
163,Antigua og Barbuda,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
164,Antigua og Barbuda,2021,6778,"levende dyr, fødevarer, drikkevarer og tobak"
176,Argentina,2018,1464655,"levende dyr, fødevarer, drikkevarer og tobak"
177,Argentina,2019,1459545,"levende dyr, fødevarer, drikkevarer og tobak"
178,Argentina,2020,1379319,"levende dyr, fødevarer, drikkevarer og tobak"
179,Argentina,2021,1073895,"levende dyr, fødevarer, drikkevarer og tobak"
191,Armenien,2018,4480,"levende dyr, fødevarer, drikkevarer og tobak"
192,Armenien,2019,566,"levende dyr, fødevarer, drikkevarer og tobak"
193,Armenien,2020,2,"levende dyr, fødevarer, drikkevarer og tobak"
194,Armenien,2021,1176,"levende dyr, fødevarer, drikkevarer og tobak"
206,Aruba,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
207,Aruba,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
208,Aruba,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
