ID,LAND,INDHOLD,SITC,TID
965,Tyskland,4733043,Diverse fremstillede varer,2018
2033,USA,29666950,Kemikalier og relaterede produkter,2018
3093,Tyskland,23515176,"Levende dyr, fødevarer, drikkevarer og tobak",2018
4157,Tyskland,29133282,Maskiner og transportmidler,2018
5133,Sverige,16530221,Mineralbrændstoffer og smøremidler,2018
966,Tyskland,4873555,Diverse fremstillede varer,2019
2034,USA,47528274,Kemikalier og relaterede produkter,2019
3094,Tyskland,23599928,"Levende dyr, fødevarer, drikkevarer og tobak",2019
4158,Tyskland,31369511,Maskiner og transportmidler,2019
5134,Sverige,16032122,Mineralbrændstoffer og smøremidler,2019
967,Tyskland,5187862,Diverse fremstillede varer,2020
2035,USA,49552576,Kemikalier og relaterede produkter,2020
3095,Tyskland,21154977,"Levende dyr, fødevarer, drikkevarer og tobak",2020
4159,Tyskland,23127082,Maskiner og transportmidler,2020
5135,Sverige,7186525,Mineralbrændstoffer og smøremidler,2020
968,Tyskland,5870281,Diverse fremstillede varer,2021
2036,USA,42741158,Kemikalier og relaterede produkter,2021
3096,Tyskland,21531744,"Levende dyr, fødevarer, drikkevarer og tobak",2021
4160,Tyskland,24889502,Maskiner og transportmidler,2021
5136,Sverige,11449656,Mineralbrændstoffer og smøremidler,2021
